identifier,latitude,longitude,feature,taille
1102-17-,58.28,-154.963,FEATURE_VOLCANO,3.311117843
1102-12-,57.203,-156.745,FEATURE_VOLCANO,3.224533063
1102-23-,58.453,-154.355,FEATURE_VOLCANO,3.310268367
1102-06-,56.011,-159.797,FEATURE_VOLCANO,3.277609214
1102-15-,58.195,-155.253,FEATURE_VOLCANO,3.335457901
1102-14-,58.172,-155.361,FEATURE_VOLCANO,3.270212855
1102-18-,58.27,-155.157,FEATURE_VOLCANO,2.924795996
1102-03-,55.417,-161.894,FEATURE_VOLCANO,3.396722279
1102-04-,55.457,-161.854,FEATURE_VOLCANO,3.330819466
1102-20-,58.336,-154.682,FEATURE_VOLCANO,3.33485569
1102-22-,58.43,-154.4,FEATURE_VOLCANO,3.356408327
1102-051,55.913,-160.041,FEATURE_VOLCANO,3.121559844
1102-052,55.929,-160.002,FEATURE_VOLCANO,3.191730393
1102-053,55.954,-159.954,FEATURE_VOLCANO,3.192288613
1102-16-,58.236,-155.1,FEATURE_VOLCANO,3.270445908
1102-13-,57.751,-156.368,FEATURE_VOLCANO,3.168497484
1102-131,57.832,-156.51,FEATURE_VOLCANO,1.959041392
1102-132,57.87,-155.411,FEATURE_VOLCANO,2.604226053
1102-07-,56.17,-159.38,FEATURE_VOLCANO,3.399154334
1102-10-,57.019,-157.185,FEATURE_VOLCANO,3.128722284
1105-001,64.062,-148.433,FEATURE_VOLCANO,2.919078092
1105-03-,61.38,-141.75,FEATURE_VOLCANO,3.699404082
1105-021,62.13,-143.08,FEATURE_VOLCANO,3.440121603
1105-01-,62.22,-144.13,FEATURE_VOLCANO,3.694517454
1105-02-,62.006,-144.017,FEATURE_VOLCANO,3.63124078
1105-07-,55.32,-131.05,FEATURE_VOLCANO,2.698970004
1105-05-,56.5,-133.1,FEATURE_VOLCANO,1.176091259
1105-04-,57.05,-135.75,FEATURE_VOLCANO,2.986771734
1105-06-,55.25,-133.3,FEATURE_VOLCANO,1.698970004
1103-01-,59.363,-153.43,FEATURE_VOLCANO,3.097604329
1103-05-,61.64,-152.411,FEATURE_VOLCANO,3.482015576
1103-02-,60.032,-153.09,FEATURE_VOLCANO,3.484726804
1103-03-,60.485,-152.742,FEATURE_VOLCANO,3.49248101
1103-04-,61.299,-152.251,FEATURE_VOLCANO,3.528145078
1104-01-,66.35,-164.33,FEATURE_VOLCANO,2.385606274
1104-06-,65.517,-163.45,FEATURE_VOLCANO,2.785329835
1104-02-,65.6,-163.92,FEATURE_VOLCANO,2.785329835
1104-05-,61.43,-164.47,FEATURE_VOLCANO,2.278753601
1104-03-,63.6,-170.43,FEATURE_VOLCANO,2.828015064
1104-04-,63.45,-162.12,FEATURE_VOLCANO,2.854306042
,57.18,-170.3,FEATURE_VOLCANO,2.307496038
1101-32-,54.134,-165.986,FEATURE_VOLCANO,3.114944416
1101-39-,55.424,-163.149,FEATURE_VOLCANO,2.688419822
1101-19-,52.5,-171.252,FEATURE_VOLCANO,3.027757205
1101-16-,52.331,-174.139,FEATURE_VOLCANO,3.160768562
1101-10-,51.91,-177.438,FEATURE_VOLCANO,2.868056362
1101-30-,53.93,-168.03,FEATURE_VOLCANO,2.176091259
1101-01-,52.35,175.911,FEATURE_VOLCANO,2.816903839
1101-23-,52.894,-170.054,FEATURE_VOLCANO,3.209515015
1101-20-,52.577,-171.13,FEATURE_VOLCANO,3.057666104
1101-24-,52.825,-169.944,FEATURE_VOLCANO,3.238046103
1101-04-,51.97,178.33,FEATURE_VOLCANO,2.515873844
1101-35-,54.65,-164.43,FEATURE_VOLCANO,3.046104787
1101-07-,51.79,-178.794,FEATURE_VOLCANO,3.196728723
1101-12-,52.076,-176.13,FEATURE_VOLCANO,3.240549248
1101-22-,52.742,-170.111,FEATURE_VOLCANO,3.10720997
1101-37-,54.765,-163.723,FEATURE_VOLCANO,3.388456453
1101-26-,52.974,-169.72,FEATURE_VOLCANO,2.950851459
1101-11-,51.923,-177.168,FEATURE_VOLCANO,3.116275588
1101-13-,52.177,-175.508,FEATURE_VOLCANO,2.496929648
1101-02-,52.103,177.602,FEATURE_VOLCANO,3.086359831
1101-14-,52.22,-175.13,FEATURE_VOLCANO,2.436162647
,52.381,-174.166,FEATURE_VOLCANO,3.181271772
1101-05-,51.95,178.543,FEATURE_VOLCANO,3.069668097
1101-31-,53.891,-166.923,FEATURE_VOLCANO,3.255272505
1101-111,51.944,-176.747,FEATURE_VOLCANO,3.07773118
1101-29-,53.43,-168.13,FEATURE_VOLCANO,3.030599722
1101-28-,53.157,-168.539,FEATURE_VOLCANO,3.297541668
1101-38-,54.8,-163.589,FEATURE_VOLCANO,3.272073788
1101-18-,52.315,-172.51,FEATURE_VOLCANO,3.022840611
1101-03-,52.015,178.136,FEATURE_VOLCANO,3.064457989
1101-06-,51.93,179.58,FEATURE_VOLCANO,3.086715664
1101-15-,52.03,-174.93,FEATURE_VOLCANO,2.748188027
1101-36-,54.756,-163.97,FEATURE_VOLCANO,3.45591024
1101-09-,51.873,-178.006,FEATURE_VOLCANO,3.161068385
1101-241,52.83,-169.77,FEATURE_VOLCANO,3.068185862
1101-08-,51.885,-178.146,FEATURE_VOLCANO,3.256717746
1101-25-,53.065,-169.77,FEATURE_VOLCANO,2.948412966
1101-27-,53.13,-168.693,FEATURE_VOLCANO,3.332236415
1101-34-,54.516,-164.65,FEATURE_VOLCANO,3.193958978
1101-21-,52.643,-170.629,FEATURE_VOLCANO,2.740362689
0600-01=,12.278,93.858,FEATURE_VOLCANO,2.549003262
0600-001,13.43,94.28,FEATURE_VOLCANO,2.851258349
1900-023,-75.8,-132.33,FEATURE_VOLCANO,3.473924693
1900-022,-76.05,-136,FEATURE_VOLCANO,3.541329578
1900-04=,-62.061,-56.717,FEATURE_VOLCANO,2.380211242
1900-08=,-59.017,-26.533,FEATURE_VOLCANO,3.041392685
1900-01=,-66.78,163.25,FEATURE_VOLCANO,3.093071306
1900-10=,-57.08,-26.67,FEATURE_VOLCANO,2.740362689
1900-03=,-63.001,-60.652,FEATURE_VOLCANO,2.779596491
1900-02=,-77.53,167.17,FEATURE_VOLCANO,3.579097327
1900-11=,-56.712,-27.176,FEATURE_VOLCANO,2.921686475
1900-028,-74.33,-99.42,FEATURE_VOLCANO,2.874481818
,-64.15,-57.75,FEATURE_VOLCANO,3.212187604
1900-12=,-56.656,-28.14,FEATURE_VOLCANO,2.278753601
1900-06=,-65.03,-60.05,FEATURE_VOLCANO,2.565847819
1900-015,-74.35,164.7,FEATURE_VOLCANO,3.436480695
,-62.02,-57.67,FEATURE_VOLCANO,2.739572344
1900-081,-58.445,-26.374,FEATURE_VOLCANO,3.136720567
1900-020,-78.5,163.53,FEATURE_VOLCANO,3.435047641
1900-041,-63.579,-55.78,FEATURE_VOLCANO,2.547774705
1900-031,-62.1,-57.93,FEATURE_VOLCANO,2.255272505
1900-029,-68.85,-90.58,FEATURE_VOLCANO,3.214843848
1900-013,-72.67,165.5,FEATURE_VOLCANO,3.482873584
1900-021,-78.25,163.33,FEATURE_VOLCANO,3.477121255
1900-09=,-57.8,-26.483,FEATURE_VOLCANO,2.925827575
1900-05=,-65.03,-60.05,FEATURE_VOLCANO,2.565847819
1900-025,-73.43,-126.67,FEATURE_VOLCANO,3.492760389
1900-07=,-59.442,-27.225,FEATURE_VOLCANO,3.031408464
1900-012,-67.4,164.83,FEATURE_VOLCANO,3.067070856
1900-027,-76.28,-112.08,FEATURE_VOLCANO,3.539076099
1900-026,-75.8,-115.83,FEATURE_VOLCANO,3.555698895
1900-014,-73.45,164.58,FEATURE_VOLCANO,3.475235223
1900-024,-77.17,-126.88,FEATURE_VOLCANO,3.517459827
1900-011,-66.42,162.47,FEATURE_VOLCANO,3.127104798
1900-13=,-56.3,-27.57,FEATURE_VOLCANO,2.741151599
0301-09-,15.63,44.08,FEATURE_VOLCANO,3.491361694
0301-17-,14.067,48.3,FEATURE_VOLCANO,2.781036939
0301-18-,15.515,50.935,FEATURE_VOLCANO,2.666517981
0301-12-,14.57,44.67,FEATURE_VOLCANO,3.544068044
0301-11-,15.4,45.1,FEATURE_VOLCANO,3.190331698
0301-10-,15.245,44.236,FEATURE_VOLCANO,3.398981067
0301-16-,13.58,46.12,FEATURE_VOLCANO,3.239799818
0301-072,18.37,41.63,FEATURE_VOLCANO,2.768638101
0301-001,32.333,37.583,FEATURE_VOLCANO,3.041392685
0301-05=,26.58,40.2,FEATURE_VOLCANO,3.210853365
0301-06=,25,39.92,FEATURE_VOLCANO,3.320769228
