identifier,latitude,longitude,resource,taille
300,23.45,84.69,RESOURCE_ALUMINUM,1.69
309,23.67,70.73,RESOURCE_ALUMINUM,1.929418926
135,23.73,116.73,RESOURCE_ALUMINUM,11.96655197
331,23.81,80.39,RESOURCE_ALUMINUM,1.69
459,23.88,120.98,RESOURCE_ALUMINUM,2.301029996
302,24.13,84.19,RESOURCE_ALUMINUM,1.86332286
376,24.28,47.32,RESOURCE_ALUMINUM,2.217483944
299,24.66,84.58,RESOURCE_ALUMINUM,1.86332286
438,24.68,46.87,RESOURCE_ALUMINUM,1.527629901
237,24.88,102.82,RESOURCE_ALUMINUM,1.69
136,25.28,105.3,RESOURCE_ALUMINUM,11.81276336
140,25.33,25.5,RESOURCE_ALUMINUM,12.60829584
298,25.38,86.51,RESOURCE_ALUMINUM,1.5
304,25.96,85.27,RESOURCE_ALUMINUM,1.69
238,26.66,106.59,RESOURCE_ALUMINUM,1.69
139,28.95,92.21,RESOURCE_ALUMINUM,8.604654467
59,31.68,-85.25,RESOURCE_ALUMINUM,12.08430041
100,32.89,-109.02,RESOURCE_ALUMINUM,10.48380192
330,32.9,75.11,RESOURCE_ALUMINUM,1.69
137,33.25,111.42,RESOURCE_ALUMINUM,12.34289549
105,33.44,-107.56,RESOURCE_ALUMINUM,12.93747132
101,33.44,-105.77,RESOURCE_ALUMINUM,12.79642269
121,33.94,-82.04,RESOURCE_ALUMINUM,11.50463116
480,34.24,-83.8,RESOURCE_ALUMINUM,1.5
79,34.29,-113.67,RESOURCE_ALUMINUM,10.50430012
138,34.42,118.67,RESOURCE_ALUMINUM,11.14751246
80,34.43,-92.55,RESOURCE_ALUMINUM,12.75573622
479,34.68,-92.28,RESOURCE_ALUMINUM,2.164352856
122,35.09,-81.08,RESOURCE_ALUMINUM,11.50917845
115,35.1,-83.01,RESOURCE_ALUMINUM,11.53562585
120,35.17,-81.6,RESOURCE_ALUMINUM,11.50326899
103,35.52,-104.71,RESOURCE_ALUMINUM,12.93677328
112,35.81,-82.48,RESOURCE_ALUMINUM,11.52674947
159,36.25,71.84,RESOURCE_ALUMINUM,1.69
337,36.51,46.4,RESOURCE_ALUMINUM,1.69
236,36.54,120.13,RESOURCE_ALUMINUM,1.69
124,36.61,-79.85,RESOURCE_ALUMINUM,11.55316489
466,36.99,32.96,RESOURCE_ALUMINUM,1.69
338,36.99,56.44,RESOURCE_ALUMINUM,1.69
462,37.29,31.88,RESOURCE_ALUMINUM,1.69
467,38.22,27.11,RESOURCE_ALUMINUM,1.69
263,38.35,22.82,RESOURCE_ALUMINUM,2.630427875
262,38.54,22.61,RESOURCE_ALUMINUM,1.69
476,39.91,-123.67,RESOURCE_ALUMINUM,1.69
81,39.92,-105.54,RESOURCE_ALUMINUM,11.63865903
132,39.99,49.64,RESOURCE_ALUMINUM,10.01681624
0,40.17,46.58,RESOURCE_ALUMINUM,11.8926419
267,40.46,21.81,RESOURCE_ALUMINUM,1.69
340,40.72,8.35,RESOURCE_ALUMINUM,1.77815125
345,40.99,16.18,RESOURCE_ALUMINUM,1.5
129,41.08,-105.81,RESOURCE_ALUMINUM,12.06436506
130,41.27,-106.7,RESOURCE_ALUMINUM,12.05259507
